"UID","class"
1216,"rural"
1231,"rural"
1467,"rural"
1491,"rural"
1574,"rural"
1588,"rural"
1790,"rural"
1801,"rural"
1813,"rural"
1823,"rural"
1845,"rural"
1905,"rural"
1946,"rural"
2040,"rural"
2094,"rural"
2139,"rural"
2140,"rural"
2158,"rural"
2159,"rural"
2163,"rural"
2167,"rural"
2173,"rural"
2190,"rural"
2191,"rural"
2197,"periurban"
2208,"rural"
2249,"rural"
2264,"rural"
2344,"periurban"
2400,"rural"
2432,"rural"
2437,"rural"
2443,"rural"
2456,"urban"
5440,"urban"
